"ASVID"	"AS1A1"	"AS1A2"	"AS1A3"	"AS1B1"	"AS1B2"	"AS1B3"	"AS1C1"	"AS1C2"	"AS1C3"	"AS2A1"	"AS2A2"	"AS2A3"	"AS2B1"	"AS2B2"	"AS2B3"	"AS2C1"	"AS2C2"	"AS2C3"	"S3C1"	"S3C2"	"S3C3"
"142"	"d371d903ef6caf7c38667f70b9a1620d"	0	0	0	2	0	0	0	0	7	0	0	0	0	0	2	34	24	28	0	0	0
"143"	"c3560cfc56f7724c0285ea7f40940330"	4	0	0	3	0	11	14	6	6	5	0	0	0	2	0	0	13	9	9	14	0
"144"	"6bff67f0eace8e4f1329e1014e1c7f89"	0	3	0	0	1	3	3	13	9	1	0	3	0	0	0	16	11	17	3	13	0
"145"	"d404962644947dadd7ffa8c3c51137e0"	7	4	3	13	0	5	4	4	10	7	0	9	1	2	0	6	5	12	0	4	0
"146"	"cb6c225baad443bf3d9eb1ae35734616"	4	2	4	18	13	15	2	3	3	0	6	10	4	0	4	4	3	0	0	0	0
"147"	"927a4323639fe26056f81942f6da6ede"	7	0	2	0	0	0	8	14	26	2	4	7	0	2	0	7	0	0	9	0	6
"148"	"c4970f7352f4670a63a5976ce6334964"	7	0	5	0	3	0	0	7	12	8	5	0	13	2	4	9	2	7	2	5	3
"149"	"18505c131cd7bdee1219d12ed629a34b"	11	3	4	8	7	4	0	0	0	13	6	5	10	6	17	0	0	0	0	0	0
"150"	"cfd2b36de3fe393fc5c5ad61be172ff0"	7	6	9	12	5	5	0	2	0	12	4	10	9	5	8	0	0	0	0	0	0
"151"	"cae447824439865187f29f548f38d967"	7	1	0	4	0	0	9	10	18	0	3	0	0	0	0	8	5	13	4	8	3
"152"	"825de600e701601c8359f019c45ede0a"	4	0	0	0	7	3	0	5	11	3	5	0	6	4	8	3	9	8	3	12	2
"153"	"087c3c48d86eb8b5a20d06fda9368ddd"	0	0	0	5	0	0	7	9	0	0	0	0	0	0	0	19	32	16	5	0	0
"154"	"51dd8abf763742d0f88fadc60f6ef8d8"	0	7	8	0	4	5	9	9	2	5	2	4	0	0	4	9	5	9	0	9	1
"155"	"2e96d98069b3c903e96cc3278aa19153"	2	0	0	2	4	0	7	0	7	0	3	3	0	3	0	22	14	24	0	0	0
"156"	"d9a70e562389dafb32cf32321e75c3bc"	0	0	4	11	11	7	0	0	2	10	0	17	6	8	5	0	5	1	0	4	0
"157"	"9cfb617cf240014121a1b8a4caec2508"	1	0	12	0	3	1	0	0	2	6	6	6	42	3	9	0	0	0	0	0	0
